	Barretts_12_EGAF00000525202	Barretts_19_EGAF00000530863	Barretts_6_EGAF00000560127	Barretts_22_EGAF00000525458	Barretts_23_EGAF00000501983	Barretts_15_EGAF00000525456	Barretts_21_EGAF00000560126	Barretts_5_EGAF00000525462	Barretts_2_EGAF00000525461	Barretts_20_EGAF00000560125	Barretts_4_EGAF00000525457	Barretts_11_EGAF00000586502	Barretts_17_EGAF00000525463	Barretts_13_EGAF00000525459	Barretts_3_EGAF00000560128	Barretts_8_EGAF00000525460	Barretts_7_EGAF00000501982	Barretts_18_EGAF00000560130	Barretts_10_EGAF00000530875	Barretts_16_EGAF00000525464	Barretts_9_EGAF00000525201	Barretts_1_EGAF00000501981	Barretts_14_EGAF00000560129
G000768705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000768855	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000768875	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000768955	0	0	0	0	1.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000769075	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0
G000769115	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000769825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000769915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000769935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000770305	1.0	0	0	1.0	0	1.0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	0	0	1.0	0	0
G000770795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000771745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000771775	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000771785	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000771795	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000771805	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000771955	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000772105	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
G000772295	1.0	0	1.0	2.0	0	10.0	0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	0	0	2.0	2.0	2.0	0	1.0
G000772365	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000772395	1.0	0	1.0	2.0	0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	0	0	2.0	2.0	2.0	0	1.0
G000772535	0	0	0	1.0	0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000772915	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
G000773975	1.0	0	0	1.0	0	2.0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0	1.0	1.0	1.0	0	0
G000775775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000783305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000784355	30054.0	0	50138.0	99119.0	0	145228.0	57575.0	103069.0	89661.0	46667.0	92647.0	41120.0	105457.0	70930.0	56756.0	93323.0	0	59488.0	20774.0	84469.0	43349.0	0	42361.0
G000784965	17.0	0	9.0	37.0	0	62.0	11.0	37.0	37.0	8.0	36.0	26.0	37.0	29.0	12.0	33.0	0	10.0	14.0	38.0	29.0	0	9.0
G000785435	0	0	0	0	0	1.0	0	1.0	1.0	0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	0	0	0
G000785495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000785515	1.0	1.0	0	1.0	5.0	3750.0	0	1.0	0	0	1.0	1.0	1.0	0	11.0	1.0	3.0	4.0	2.0	0	0	2.0	0
G000785535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000785705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000786195	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000786655	80653.0	0	64393.0	80210.0	0	58734.0	84322.0	80342.0	69312.0	58534.0	66228.0	69804.0	99360.0	58317.0	64447.0	80922.0	0	85844.0	78399.0	83979.0	63151.0	0	74511.0
G000787835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000797445	13.0	0	3.0	9.0	0	13.0	5.0	11.0	10.0	4.0	10.0	6.0	14.0	7.0	3.0	10.0	0	6.0	6.0	10.0	10.0	0	4.0
G000797495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000799115	20.0	0	6.0	23.0	0	28.0	9.0	27.0	24.0	6.0	26.0	8.0	29.0	20.0	6.0	21.0	0	10.0	13.0	26.0	20.0	0	7.0
G000799305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000799385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000800295	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000800395	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000800475	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000800955	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000801275	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
