	14458.ERR2373132	14458.ERR2373099	14458.ERR2373141	14458.ERR2373059	14458.ERR2373065	14458.ERR2373066	14458.ERR2373070	14458.ERR2373071	14458.ERR2373079	14458.ERR2373082	14458.ERR2373084	14458.ERR2373057	14458.ERR2373104	14458.ERR2373102	14458.ERR2373105	14458.ERR2373142	14458.ERR2373049	14458.ERR2373051	14458.ERR2373054	14458.ERR2373088	14458.ERR2373130	14458.ERR2373108	14458.ERR2373131	14458.ERR2373113	14458.ERR2373135	14458.ERR2373120	14458.ERR2373116	14458.ERR2373126	14458.ERR2373137
G000009345	0	1.0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	0	0	0	1.0	1.0	0	0	0	0	1.0	0	0	1.0	0
G000009365	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000009545	10.0	13.0	1.0	21.0	51.0	158.0	8.0	48.0	9.0	101.0	32.0	29.0	43.0	127.0	67.0	5.0	15.0	17.0	97.0	46.0	32.0	27.0	14.0	31.0	11.0	12.0	38.0	74.0	7.0
G000009865	0	1.0	0	0	0	2.0	0	1.0	0	0	0	0	2.0	3.0	0	1.0	2.0	3.0	4.0	2.0	1.0	0	2.0	0	1.0	0	5.0	5.0	2.0
G000009925	2.0	8.0	2.0	0	0	2.0	3.0	7.0	0	7.0	6.0	8.0	11.0	8.0	2.0	2.0	0	15.0	9.0	14.0	22.0	1.0	11.0	8.0	2.0	3.0	6.0	12.0	2.0
G000010085	0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	0	3.0	0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	4.0	1.0	1.0	0	2.0	7.0	0
G000010125	2.0	0	0	0	0	1.0	0	0	0	0	0	2.0	0	5.0	3.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
G000010145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	2.0	0	0	0	1.0	0	1.0	7.0	0	0
G000010185	0	1.0	0	0	0	3.0	0	0	0	0	1.0	6.0	1.0	3.0	1.0	1.0	0	6.0	1.0	4.0	2.0	0	6.0	4.0	1.0	0	3.0	2.0	1.0
G000010285	1.0	1.0	0	3.0	1.0	4.0	0	1.0	4.0	0	3.0	1.0	0	23.0	2.0	2.0	8.0	1.0	10.0	4.0	1.0	3.0	8.0	1.0	1.0	7.0	9.0	10.0	1.0
G000010425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0
G000010505	3.0	14.0	5.0	5.0	2603.0	47.0	105.0	675.0	3142.0	1135.0	25.0	143.0	16.0	577.0	301.0	2029.0	15.0	2224.0	2497.0	3785.0	1349.0	5.0	39653.0	10901.0	42.0	34.0	24.0	2357.0	1175.0
G000010585	81.0	14.0	0	34.0	0	13.0	27.0	4.0	6.0	105.0	13.0	23.0	23.0	390.0	2.0	0	4.0	28.0	1.0	1.0	1.0	14.0	7.0	7.0	9.0	1.0	2.0	56.0	2.0
G000010645	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011025	2329.0	2300.0	399.0	3653.0	3509.0	17047.0	2534.0	2057.0	15648.0	2025.0	14264.0	5292.0	3157.0	55639.0	11460.0	8434.0	37157.0	4697.0	30898.0	10632.0	4511.0	11854.0	37196.0	1734.0	4560.0	9893.0	10372.0	38388.0	4482.0
G000011065	0	1.0	0	0	2.0	1.0	2.0	1.0	2.0	5.0	16.0	3.0	5.0	3.0	2.0	0	0	17.0	6.0	6.0	7.0	0	2.0	24.0	0	1.0	19.0	9.0	0
G000011245	0	0	0	0	1.0	5.0	0	2.0	0	3.0	0	1.0	1.0	2.0	2.0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	1.0	0
G000011305	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011365	0	5.0	1.0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	1.0	2.0	0	0	2.0	1.0	0	0	1.0	1.0	1.0	0
G000011645	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000011705	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
G000011905	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
G000011985	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0
G000012005	1.0	0	0	0	0	0	2.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
