	14458.ERR2373139	14458.ERR2373140	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373068	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373076	14458.ERR2373077	14458.ERR2373098	14458.ERR2373078	14458.ERR2373080	14458.ERR2373083	14458.ERR2373081	14458.ERR2373085	14458.ERR2373055	14458.ERR2373103	14458.ERR2373106	14458.ERR2373107	14458.ERR2373138	14458.ERR2373144	14458.ERR2373146	14458.ERR2373050	14458.ERR2373053	14458.ERR2373052	14458.ERR2373125	14458.ERR2373089	14458.ERR2373090	14458.ERR2373092	14458.ERR2373093	14458.ERR2373095	14458.ERR2373096	14458.ERR2373097	14458.ERR2373133	14458.ERR2373109	14458.ERR2373112	14458.ERR2373110	14458.ERR2373111	14458.ERR2373134	14458.ERR2373118	14458.ERR2373121	14458.ERR2373122	14458.ERR2373119	14458.ERR2373123	14458.ERR2373124	14458.ERR2373117	14458.ERR2373127	14458.ERR2373136
G000011705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011905	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	3.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0
G000011985	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	10.0	0	0	1.0	0	0	0	0
G000012005	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	0	0	5.0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
G000012245	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000012585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000012825	0	1.0	2.0	2.0	0	1.0	1.0	47.0	9.0	0	1.0	2.0	1.0	4.0	31.0	0	1.0	5.0	0	4.0	2.0	12.0	7.0	0	0	3.0	3.0	0	1.0	1.0	4.0	13.0	34.0	0	2.0	0	0	1.0	15.0	0	1.0	0	0	0	15.0	3.0	4.0	2.0	0	1.0
G000012845	0	0	0	0	1.0	0	0	5.0	1.0	0	0	0	0	0	9.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	2.0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0
G000012985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000013005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
