	14458.ERR2373068	14458.ERR2373096	14458.ERR2373109	14458.ERR2373092	14458.ERR2373133	14458.ERR2373106	14458.ERR2373103	14458.ERR2373097	14458.ERR2373125	14458.ERR2373112	14458.ERR2373076	14458.ERR2373134	14458.ERR2373093	14458.ERR2373121	14458.ERR2373090	14458.ERR2373089	14458.ERR2373111	14458.ERR2373050	14458.ERR2373095	14458.ERR2373077	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373098	14458.ERR2373107	14458.ERR2373139	14458.ERR2373140	14458.ERR2373146	14458.ERR2373138	14458.ERR2373144	14458.ERR2373085	14458.ERR2373083	14458.ERR2373080	14458.ERR2373078	14458.ERR2373081	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373136	14458.ERR2373110	14458.ERR2373117	14458.ERR2373053	14458.ERR2373055	14458.ERR2373052	14458.ERR2373118	14458.ERR2373124	14458.ERR2373127	14458.ERR2373123	14458.ERR2373119	14458.ERR2373122
G008728435	18.0	6.0	3.0	12.0	5.0	3.0	4.0	5.0	6.0	1.0	3.0	6.0	2.0	1.0	4.0	5.0	2.0	8.0	2.0	2.0	13.0	3.0	4.0	21.0	7.0	5.0	2.0	4.0	8.0	173.0	3.0	16.0	3.0	3.0	7.0	2.0	12.0	10.0	9.0	2.0	13.0	3.0	1.0	6.0	12.0	9.0	12.0	5.0	6.0	9.0
G008728965	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	2.0	0	0	0	0	0	0	0	1.0	0	0	1.0	0
G008800755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801405	175.0	308.0	78.0	83.0	259.0	671.0	35.0	72.0	2003.0	18.0	73.0	148.0	56.0	35.0	37.0	56.0	48.0	67.0	53.0	51.0	45.0	30.0	67.0	131.0	842.0	224.0	54.0	21.0	372.0	66.0	54.0	149.0	80.0	58.0	117.0	22.0	126.0	105.0	1520.0	22.0	30.0	22.0	36.0	34.0	28.0	128.0	760.0	105.0	65.0	141.0
G008801475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801675	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G008801705	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
